代码, 中文
Weapon_AKM, AKM突击步枪
Weapon_AKS_74U, AKS-74U卡宾枪
Weapon_AS_Val, AS Val微声突击步枪
Weapon_AT4_HEAT, AT4火箭筒(破甲)
Weapon_AWM, AWM狙击步枪
Weapon_AWM_Desert, AWM狙击步枪(沙漠)
Weapon_AWM_Green, AWM狙击步枪(绿色)
Weapon_AWM_Snake, AWM狙击步枪(蛇纹)
Weapon_AWP, AWP狙击步枪
Weapon_AWP_Desert, AWP狙击步枪(沙漠)
Weapon_AWP_Green, AWP狙击步枪(绿色)
Weapon_AWP_Snake, AWP狙击步枪(蛇纹)
Weapon_BayRifferBlock21, Block21刺刀步枪
Weapon_BlackHawk_Crossbow, 黑鹰十字弩
Weapon_Block21, Block21步枪
Weapon_CarbonHunter, 碳纤维猎弓
Weapon_DEagle_357, 沙漠之鹰(.357)
Weapon_DEagle_50, 沙漠之鹰(.50)
Weapon_DEagle_50Gold, 沙漠之鹰(.50 金色)
Weapon_DT11B, DT-11B霰弹枪
Weapon_DT11B_Sawed_Off, DT-11B霰弹枪(锯短)
Weapon_FlareGun, 信号枪
Weapon_HS9, HS9手枪
Weapon_Hunter85_V2, 猎人85步枪
Weapon_Improvised_Crossbow, 简易十字弩
Weapon_Improvised_Flamethrower, 简易火焰喷射器
Weapon_Improvised_Handgun, 简易手枪
Weapon_Improvised_Rifle, 简易步枪
Weapon_ImprovisedGrenadeLauncher, 简易榴弹发射器
Weapon_Judge44, 法官44转轮手枪
Weapon_Krueger, Krueger手枪
Weapon_M16A4, M16A4步枪
Weapon_M1887, M1887杠杆霰弹枪
Weapon_M1887_Sawed_off, M1887杠杆霰弹枪(锯短)
Weapon_M1911, M1911手枪
Weapon_M1911_Engraved, M1911手枪(雕刻版)
Weapon_M1911_Gold, M1911手枪(金色)
Weapon_M1911_JayW, M1911手枪(JayW)
Weapon_M1_Garand, M1加兰德步枪
Weapon_M249, M249轻机枪
Weapon_M82A1, M82A1反器材步枪
Weapon_M82A1_Black, M82A1反器材步枪(黑色)
Weapon_M82A1_Desert, M82A1反器材步枪(沙漠)
Weapon_M82A1_Snow, M82A1反器材步枪(雪地)
Weapon_M9, M9手枪
Weapon_M9_Silver, M9手枪(银色)
Weapon_MAC10, MAC-10冲锋枪
Weapon_MK18, MK18卡宾枪
Weapon_MosinNagant, 莫辛-纳甘步枪
Weapon_MP5, MP5冲锋枪
Weapon_MP5_K, MP5K冲锋枪
Weapon_MP5_SD, MP5SD微声冲锋枪
Weapon_PeaceKeeper38, 和平守护者38转轮手枪
Weapon_RPG7, RPG-7火箭筒
Weapon_RPK-74, RPK-74轻机枪
Weapon_SCAR_DMR, SCAR-DMR狙击步枪
Weapon_SCAR_L, SCAR-L突击步枪
Weapon_SDASS, SDASS霰弹枪
Weapon_Serpent357, 毒蛇357转轮手枪
Weapon_SF19, SF19手枪
Weapon_SKS, SKS半自动步枪
Weapon_SVD_Dragunov, SVD德拉贡诺夫狙击步枪
Weapon_TommyGun, 汤普森冲锋枪
Weapon_Trench_Gun, 堑壕霰弹枪
Weapon_UMP45, UMP-45冲锋枪
Weapon_VHS2, VHS-2突击步枪
Weapon_VHS2_Rail, VHS-2导轨
Weapon_VHS_BG, VHS-BG突击步枪
Weapon_Viper_M357, 蝰蛇M357转轮手枪
Weapon_VSS_VZ, VSS VZ微声狙击步枪

### 近战武器 (Melee) ###
05_Teeth_Necklace, 五兽牙项链
10_Teeth_Necklace, 十兽牙项链
15_Teeth_Necklace, 十五兽牙项链
1H_Beam_Dildo, 木质假屌
1H_Brass_knuckles, 黄铜指虎
1H_Bushman, 丛林猎刀
1H_Cleaver, 剁骨刀
1H_Crowbar, 撬棍
1H_Dildo, 假屌
1H_EMpossible_Knife, 电磁特种小刀
1H_Hatchet, 短斧
1H_Hunter, 狩猎小刀
1H_Improvised_Glass_Shiv, 玻璃简易匕首
1H_Improvised_Hammer, 简易铁锤
1H_Improvised_metal_knife, 简易金属刀
1H_Improvised_Tomahawk, 简易战斧
1H_ImprovisedKnife, 自制小刀
1H_KitchenKnife, 厨刀
1H_KitchenKnife_02, 二号厨刀
1H_KitchenKnife_02_Deluxe, 豪华二号厨刀
1H_KitchenKnife_03, 三号厨刀
1H_KitchenKnife_04, 四号厨刀
1H_Kunai, 苦无
1H_Little_Spade, 小型铁锹
1H_Medieval_Sword, 中世纪长剑
1H_Metal_Pipe, 金属钢管
1H_Metal_Sword, 金属短剑
1H_Military_Shovel, 军用工兵铲
1H_Military_Survival_Knife, 军用手斧
1H_Military_Tomahawk, 军用手斧
1H_MK5000_Black, MK5000黑版短刀
1H_MK5000_Metal, MK5000金属版短刀
1H_N9_Black, N9黑色战术刀
1H_N9_White, N9白色战术刀
1H_Pipe_Wrench, 管钳
1H_Police_Baton, 警用警棍
1H_Scalpel, 手术刀
1H_Scout_Black, 侦察黑刃小刀
1H_Scout_White, 侦察白刃小刀
1H_Shuriken, 手里剑
1H_Small_Axe, 石斧
1H_Stone_Axe, 石斧
1H_Stone_Axe_Head, 石斧头部
1H_Traynors_Axe, 特雷纳斧
1H_Wooden_club, 木棒
1H_Wooden_club_with_spikes, 带刺木棒
1H_Wooden_club_with_wire, 带铁丝木棒
2_pieces_Ear_Necklace, 双片耳朵项链
2H_Axe, 大斧
2H_Baseball_Bat, 棒球棒
2H_Baseball_Bat_Blaze, 烈焰棒球棒
2H_Baseball_Bat_with_spikes, 带刺棒球棒
2H_Baseball_Bat_with_wire, 带铁丝棒球棒
2H_Improvised_Gardening_Hoe, 简易园艺锄
2H_Improvised_metal_shovel, 简易木铲
2H_Improvised_shovel, 简易木铲
2H_Industrial_Gardening_Hoe, 工业园艺锄
2H_Katana, 武士刀
2H_Katana1, 武士刀1型
2H_Metal_Axe, 金属大斧
2H_Metal_Baseball_Bat, 金属棒球棒
2H_Pickaxe, 十字镐
2H_Pitchfork, 干草叉
2H_Pitchfork_Bent, 弯干草叉
2H_Shovel_01, 铁锹1型
2H_Shovel_02, 铁锹2型
2H_Stone_Axe, 大石斧
2H_Stone_Axe_Head, 大石斧头部
2H_Tang_Dao, 唐刀
2H_Tang_Dao_Black_Dragon, 黑龙唐刀
2H_Tang_Dao_Damascus, 大马士革唐刀
2H_Wooden_Sword, 木剑
2H_ZhanMaDao_Sword, 2H斩马刀
4_pieces_Ear_Necklace, 四片耳朵项链
6_pieces_Ear_Necklace, 六片耳朵项链

### 防弹衣与护甲 (Armor) ###
Armor_Police_Vest_01, 警用防弹背心
Armor_Tactical_Vest_01_01, 战术背心(林地)
Armor_Tactical_Vest_01_02, 战术背心(沙漠)
Armor_Tactical_Vest_01_03, 战术背心(雪地)
Armor_Tactical_Vest_01_04, 战术背心(黑色)
Armor_Tactical_Vest_01_05, 战术背心(绿色)
Bulletproof_Vest_01, 防弹背心
Bulletproof_Vest_01_02, 防弹背心(黑色)
Bulletproof_Vest_01_03, 防弹背心(绿色)
Bulletproof_Vest_01_04, 防弹背心(灰色)
Bulletproof_Vest_01_Event, 防弹背心(周年庆)
Bulletproof_Vest_02_Event, 防弹背心(事件)
Bulletproof_Vest_03_Event, 防弹背心(事件)
Bulletproof_Vest_04_Event, 防弹背心(事件)
Improvised_Bulletproof_Armor, 简易防弹甲
Improvised_Stabproof, 简易防刺甲
Stabproof_Vest_01_01, 防刺背心(黑色)
Stabproof_Vest_01_02, 防刺背心(蓝色)
Stabproof_Vest_01_03, 防刺背心(绿色)
Stabproof_Vest_01_04, 防刺背心(灰色)
Stabproof_Vest_01_05, 防刺背心(红色)
Stabproof_Vest_01_06, 防刺背心(黄色)
Stabproof_Vest_01_07, 防刺背心(白色)
Stabproof_Vest_01_08, 防刺背心(迷彩)
Stabproof_Vest_01_09, 防刺背心(迷彩)
Tactical_Vest_01, 战术背心(轻型)

### 僵尸 (Zombie) ###
BP_Zombie_Civilian_Fat_Female, 平民僵尸(胖子女)
BP_Zombie_Civilian_Fat_Male, 平民僵尸(胖子男)
BP_Zombie_Civilian_Muscular_Female, 平民僵尸(肌肉女)
BP_Zombie_Civilian_Muscular_Male, 平民僵尸(肌肉男)
BP_Zombie_Civilian_Normal_Male, 平民僵尸(普通男)
BP_Zombie_Civilian_Skinny_Female, 平民僵尸(瘦子女)
BP_Zombie_Civilian_Skinny_Loot, 平民僵尸(瘦子·有物资)
BP_Zombie_Civilian_Skinny_Male, 平民僵尸(瘦子男)
BP_Zombie_Hospital_Fat, 医院僵尸(胖子)
BP_Zombie_Hospital_Female, 医院僵尸(女)
BP_Zombie_Hospital_Muscle, 医院僵尸(肌肉)
BP_Zombie_Hospital_Normal, 医院僵尸(普通)
BP_Zombie_Military_Armored, 军用僵尸(装甲)
BP_Zombie_Military_Female, 军用僵尸(女)
BP_Zombie_Military_Muscle, 军用僵尸(肌肉)
BP_Zombie_Nuclear, 核污染僵尸
BP_Zombie_Nuclear_Fat_Female, 核污染僵尸(胖子女)
BP_Zombie_Nuclear_Fat_Male, 核污染僵尸(胖子男)
BP_Zombie_Nuclear_Muscular_Female, 核污染僵尸(肌肉女)
BP_Zombie_Nuclear_Muscular_Male, 核污染僵尸(肌肉男)
BP_Zombie_Police_Armored, 警察僵尸(装甲)
BP_Zombie_Police_Fat, 警察僵尸(胖子)
BP_Zombie_Police_Female, 警察僵尸(女)
BP_Zombie_Police_Muscle, 警察僵尸(肌肉)
BP_Zombie_SuicideVest, 自杀背心僵尸(自爆)

### 食物/饮品 (Food & Drink) ###
Absinthe, 苦艾酒
African_Biltong, 非洲肉干
Apple, 苹果
Apple_2, 苹果(2)
BabyFood, 婴儿食品
Bag_of_Almonds, 杏仁袋
BakedBeans, 烤豆子
Banana, 香蕉
BeefRavioli, 牛肉馄饨
BeefStew, 炖牛肉
Beer, 啤酒
Beet, 甜菜
Bell_Pepper, 甜椒
Blackberry, 黑莓
BlackOlives, 黑橄榄
BlackPepper, 黑胡椒
Blueberries, 蓝莓
Broccoli, 西兰花
Butter, 黄油
Cabbage, 卷心菜
Can01, 罐头(1)
Can02, 罐头(2)
Can03, 罐头(3)
Can04, 罐头(4)
Candy_Bob, 糖果棒
CandyCorn_01, 玉米糖
Canned_Corn, 玉米罐头
Canned_Tuna, 金枪鱼罐头
CannedCatFood, 猫粮罐头
CannedDogFood, 狗粮罐头
CannedFruitCocktail, 水果鸡尾酒罐头
CannedGoulash, 炖牛肉罐头
CannedPeach, 黄桃罐头
CannedPear, 梨罐头
CannedPeas, 豌豆罐头
CannedSardine, 沙丁鱼罐头
CannedSardine_Deluxe, 沙丁鱼罐头(豪华)
CannedSeafoodMix, 海鲜什锦罐头
CannedSpaghetti, 意面罐头
CantaloupeMelon, 哈密瓜
CantaloupeMelon_Slice, 哈密瓜片
Carrot, 胡萝卜
Cauliflower, 花椰菜
Celery, 芹菜
Cereal_BunnyStars, 兔星麦片
Cereal_UpNGo, 即食麦片
Cheese, 奶酪
CheesePacked, 包装奶酪
ChickenDrumstick, 鸡腿
ChickenMeat, 鸡肉
Chili_Pepper, 辣椒
Chips, 薯片
Chips2, 薯片(2)
Chips3, 薯片(3)
Chips4, 薯片(4)
ChocolateCandy_01, 巧克力糖(1)
ChocolateCandy_03, 巧克力糖(3)
ChocolateCandy_04, 巧克力糖(4)
ChocolateCandy_05, 巧克力糖(5)
ChocolateCandy_06, 巧克力糖(6)
ChocolateCandy_07, 巧克力糖(7)
ChocolateCandy_08, 巧克力糖(8)
ChocolateCandy_09, 巧克力糖(9)
ChocolateCandy_10, 巧克力糖(10)
ChocolateCandy_11, 巧克力糖(11)
Chow_Mein, 炒面
Cocoa_Powder, 可可粉
Coconut, 椰子
Coffee, 咖啡
Corn, 玉米
Corn_flakes, 玉米片
Crab_Apple, 野苹果
Crackers, 饼干
Cream, 奶油
Cucumber, 黄瓜
Currant, 红醋栗
Date, 椰枣
Dog_Rose, 狗蔷薇果
Egg, 鸡蛋
Energy_Drink_Red_Ghoul, 红鬼能量饮料
Fig, 无花果
Garlic, 大蒜
GrapeFruit, 西柚
Grapes_Raw, 葡萄
GuavaHalves, 番石榴块
Hazelnuts, 榛子
Honey, 蜂蜜
Icing_Sugar, 糖霜
Instant_OatMeal, 即食燕麦片
Ketchup, 番茄酱
Kicmovaca, 腌肉
Kiwi, 猕猴桃
Lemon, 柠檬
Lettuce, 生菜
Lime, 青柠
Mango, 芒果
Mayonnaise, 蛋黄酱
MeatSnack_01, 肉干零食(1)
MeatSnack_02, 肉干零食(2)
Milk, 牛奶
MRE_Cheeseburger, MRE芝士汉堡
MRE_Stew, MRE炖菜
MRE_TunaSalad, MRE金枪鱼沙拉
Mulberry, 桑葚
Mustard, 芥末
Oak_Nuts, 橡子
Olives, 橄榄
Onion, 洋葱
Opuntia_Fig, 仙人掌果
Orange, 橙子
Parsley, 欧芹
Pasta, 意面
Peach, 桃子
Pear, 梨
Pine_Cone, 松果
Pineapple, 菠萝
Plum, 李子
Pork_Steak, 猪排
Potato, 土豆
Pumpkin, 南瓜
Raisins, 葡萄干
Ramsons, 熊葱
Rice, 大米
Richards_Cheese, 理查德奶酪
SaltGrain, 盐粒
Salsify_roots, 婆罗门参根
SaltBag, 盐袋
SCUMkin_Spice_Latte, SCUM精香料拿铁
SeaSalt_01, 海盐(1)
SeaSalt_02, 海盐(2)
SoySauce, 酱油
SpicesMix_01, 混合香料(1)
SpicesMix_02, 混合香料(2)
Spinach, 菠菜
Sugar, 糖
SugarBeet, 甜菜
Tangerine, 橘子
Tea_Pack, 茶包
The_Island_Special, 岛屿特调
Tobacco, 烟草
Toaster_Pastries, 烤面包点心
Toaster_Pastries2, 烤面包点心(2)
Tomato, 番茄
TomatoPelate, 番茄块
TomatoSauce, 番茄酱
Tuna_Fillet, 金枪鱼片
VegetableOil, 植物油
Vinegar, 醋
Vodka, 伏特加
Walnut, 核桃
Water_05l, 水(0.5L)
Watermelon, 西瓜
Watermelon_slice, 西瓜片
Whiskey, 威士忌
WhiteFlour, 白面粉
Wild_Cherry, 野樱桃
Wild_Strawberry, 野草莓
Wine, 葡萄酒
Yeast, 酵母
Zucchini, 西葫芦

### 药品/医疗 (Medical) ###
ActivatedCharcoal_01, 活性炭(1)
ActivatedCharcoal_02, 活性炭(2)
ActivatedCharcoal_03, 活性炭(3)
Aloe_Vera, 芦荟
Antibiotic_Pill_Single, 抗生素药片(单粒)
Antibiotics_01, 抗生素(1)
Antibiotics_02, 抗生素(2)
Antibiotics_03, 抗生素(3)
AntiburnGel, 烫伤凝胶
AntiburnGel_Improvised, 简易烫伤凝胶
Aspirin, 阿司匹林
AtropineInjection, 阿托品注射剂
Emergency_bandage, 急救绷带
Emergency_bandage_Big, 大号急救绷带
Emergency_bandage_Big_Deluxe, 豪华大号急救绷带
Emergency_bandage_Deluxe, 豪华急救绷带
Hemostatic_Dressing, 止血敷料
Isopropyl_alcohol, 异丙醇
Painkillers_01, 止痛药(1)
Painkillers_02, 止痛药(2)
PainKillers_03, 止痛药(3)
Penicillin01, 青霉素(1)
Phoenix_Tears, 凤凰之泪
Phoenix_Tears_Small, 凤凰之泪(小)
PotassiumIodide_Pills_01, 碘化钾片(1)
PotassiumIodide_Pills_02, 碘化钾片(2)
PotassiumIodide_Pills_03, 碘化钾片(3)
Pressure_Dressing, 加压敷料
Splint, 夹板
Syringe, 注射器
Tourniquet, 止血带
Vitamins_01, 维生素(1)
Vitamins_02, 维生素(2)
Vitamins_03, 维生素(3)

### 蘑菇/植物 (Mushrooms & Plants) ###
Agaricus_Augustus, 大紫蘑菇
Agaricus_Campestris, 野蘑菇
Amanita_Muscaria, 毒蝇伞
Amanita_Pantherina, 豹斑毒伞
Amanita_Phalloides, 鬼笔鹅膏
Amanita_Virosa, 毁灭天使
Armillaria_Mellea, 蜜环菌
Barberry, 小檗
Boletus_Edulis, 牛肝菌
Cantharellus_Cibarius, 鸡油菌
Coprinus_Comatus, 毛头鬼伞
Fistula_Hepatica, 肝色牛排菌
Ganoderma_Lucidum, 灵芝
Inonotus_Obliquus, 桦褐孔菌
Lepiota_Procera, 大环柄菇
Lycoperdon_Gigantea, 大马勃
Psilocybe_Cyanescens, 蓝绿裸盖菇
Stinging_Nettle, 荨麻

### 种子/肥料 (Seeds & Fertilizer) ###
Apple_Seed_Bag, 苹果种子袋
Apple_Seeds, 苹果种子
Broccoli_Seed_Bag, 西兰花种子袋
Broccoli_Seeds, 西兰花种子
Cabbage_Seed_Bag, 卷心菜种子袋
Cabbage_Seeds, 卷心菜种子
Cannabis_Seed_Bag, 大麻种子袋
Cannabis_Seeds, 大麻种子
CantaloupeMelon_Seed_Bag, 哈密瓜种子袋
CantaloupeMelon_Seeds, 哈密瓜种子
Carrot_Seed_Bag, 胡萝卜种子袋
Carrot_Seeds, 胡萝卜种子
Cherry_Seed_Bag, 樱桃种子袋
Cherry_Seeds, 樱桃种子
Chillipepper_Seed_Bag, 辣椒种子袋
ChilliPeppers_Seeds, 辣椒种子
Corn_Seed_Bag, 玉米种子袋
Corn_Seeds, 玉米种子
Cucumber_Seed_Bag, 黄瓜种子袋
Cucumber_Seeds, 黄瓜种子
Fig_Seed_Bag, 无花果种子袋
Fig_Seeds, 无花果种子
Garlic_Seed_Bag, 大蒜种子袋
Garlic_Seeds, 大蒜种子
Lemon_Seed_Bag, 柠檬种子袋
Lemon_Seeds, 柠檬种子
Lettuce_Seed_Bag, 生菜种子袋
Lettuce_Seeds, 生菜种子
Orange_Seed_Bag, 橙子种子袋
Orange_Seeds, 橙子种子
Peach_Seed_Bag, 桃子种子袋
Peach_Seeds, 桃子种子
Pear_Seed_Bag, 梨种子袋
Pear_Seeds, 梨种子
Peppers_Seed_Bag, 辣椒种子袋
Peppers_Seeds, 辣椒种子
Plum_Seed_Bag, 李子种子袋
Plum_Seeds, 李子种子
Potato_Seed_Bag, 土豆种子袋
Potatoes_Seeds, 土豆种子
Pumpkin_Seed_Bag, 南瓜种子袋
Pumpkin_Seeds, 南瓜种子
RedOnion_Seed_Bag, 红洋葱种子袋
RedOnion_Seeds, 红洋葱种子
Spinach_Seed_Bag, 菠菜种子袋
Spinach_Seeds, 菠菜种子
Tangerine_Seed_Bag, 橘子种子袋
Tangerine_Seeds, 橘子种子
Tobacco_Seed_Bag, 烟草种子袋
Tobacco_Seeds, 烟草种子
Tomato_Seed_Bag, 番茄种子袋
Tomato_Seeds, 番茄种子
Watermelon_Seed_Bag, 西瓜种子袋
Watermelon_Seeds, 西瓜种子
Zucchini_Seed_Bag, 西葫芦种子袋
Zucchini_Seeds, 西葫芦种子
Fertilizer, 肥料
Fungicide, 杀菌剂
Herbicide, 除草剂
Industrial_Fertilizer, 工业肥料
Organic_Fertilizer, 有机肥料
